varWTI,skewWTI,curtWTI,entWTI,outlier_label
2.7296,2.8701,0.51124,0.5099,no
2.8232,10.8513,-3.1466,-3.9784,no
3.0864,-2.5845,2.2309,0.30947,no
3.5152,6.8224,-0.67377,-0.46898,no
2.1948,1.3781,1.1582,0.85774,no
4.5597,-2.4211,2.6413,1.6168,no
0.11739,6.2761,-1.5495,-2.4746,no
-0.001285,0.13863,-0.19651,0.008175,yes
2.2893,3.733,0.6312,-0.39786,no
2.5678,3.5136,0.61406,-0.40691,no
5.438,9.4669,-4.9417,-3.9202,no
1.5456,8.5482,0.4187,-2.1784,no
4.3846,-4.8794,3.3662,-0.029324,no
0.80355,2.8473,4.3439,0.6017,no
5.7823,5.5788,-2.4089,-0.056479,no
3.1557,2.8908,0.59693,0.79825,no
-2.1979,-2.1252,1.7151,0.45171,yes
0.95626,2.4728,4.4578,0.21636,no
-0.70867,-5.5602,4.0483,0.903,yes
1.105,7.4432,0.41099,-3.0332,no
3.8999,1.734,1.6011,0.96765,no
0.33111,4.5731,2.057,-0.18967,no
0.3798,0.7098,0.7572,-0.4444,no
0.56953,7.6294,1.5754,-3.2233,no
0.5415,6.0319,1.6825,-0.46122,no
5.0185,8.5978,-2.9375,-1.281,no
-1.8584,7.886,-1.6643,-1.8384,no
0.46901,-0.63321,7.3848,0.36507,no
4.5447,8.2274,-2.4166,-1.5875,no
2.5227,2.2369,2.7236,0.79438,no
1.4884,3.6274,3.308,0.48921,no
0.74841,7.2756,1.1504,-0.5388,no
-0.7869,9.5663,-3.7867,-7.5034,no
5.0617,-0.35799,0.44698,0.99868,no
-2.7143,11.4535,2.1092,-3.9629,no
2.5068,1.1588,3.9249,0.12585,no
0.39559,6.8866,1.0588,-0.67587,no
1.8799,2.4707,2.4931,0.37671,no
-0.006892,9.2931,-0.41243,-1.9638,no
1.1472,3.5985,1.9387,-0.43406,no
2.2504,3.5757,0.35273,0.2836,no
5.6084,10.3009,-4.8003,-4.3534,no
0.88872,5.3449,2.045,-0.19355,no
3.0333,-2.5928,2.3183,0.303,no
3.359,9.8022,-3.8209,-3.7133,no
2.7659,0.66216,4.1494,-0.28406,no
3.2414,0.40971,1.4015,1.1952,no
-2.2625,-0.099335,2.8127,0.48662,yes
2.3066,3.5364,0.57551,0.41938,no
-1.3389,1.552,7.0806,1.031,no
0.9297,-3.7971,4.6429,-0.2957,no
-0.36038,4.1158,3.1143,-0.37199,no
4.9342,2.4107,-0.17594,1.6245,no
4.6464,10.5326,-4.5852,-4.206,no
-1.0401,9.3987,0.85998,-5.3336,no
3.3951,1.1484,2.1401,2.0862,no
-2.6989,12.1984,0.67661,-8.5482,no
2.229,9.6325,-3.1123,-2.7164,no
2.8521,9.171,-3.6461,-1.2047,no
1.8238,-6.7748,8.3873,-0.54139,no
3.5594,1.3078,1.291,1.6556,no
3.9771,11.1513,-3.9272,-4.3444,no
0.3292,-4.4552,4.5718,-0.9888,no
2.9499,2.2493,1.3458,-0.037083,no
2.1616,-6.8804,8.1517,-0.081048,no
2.4486,-6.3175,7.9632,0.20602,no
2.483,6.6155,-0.79287,-0.90863,no
0.76163,5.8209,1.1959,-0.64613,no
4.068,-2.9363,2.1992,0.50084,no
2.9421,7.4101,-0.97709,-0.88406,no
0.87256,9.2931,-0.7843,-2.1978,no
2.2123,-5.8395,7.7687,-0.85302,no
3.7767,9.7794,-3.9075,-3.5323,no
4.0715,7.6398,-2.0824,-1.1698,no
4.3239,-4.8835,3.4356,-0.5776,no
3.7818,-2.8846,2.2558,-0.15734,no
1.3049,-0.15521,6.4911,-0.75346,no
-1.803,11.8818,2.0458,-5.2728,no
2.0597,-0.99326,5.2119,-0.29312,no
1.2247,8.7779,-2.2135,-0.80647,no
-0.7056,8.7241,2.2215,-4.5965,no
1.0607,2.4542,2.5188,-0.17027,no
2.7206,9.0821,-3.3111,-0.96811,no
4.3483,11.1079,-4.0857,-4.2539,no
3.9899,-2.7066,2.3946,0.86291,no
4.5691,-4.4552,3.1769,0.004296,no
4.0102,10.6568,-4.1388,-5.0646,no
1.1315,7.9212,1.093,-2.8444,no
3.931,1.8541,-0.023425,1.2314,no
1.5799,-4.7076,7.9186,-1.5487,no
3.8023,-3.8696,4.044,0.95343,no
3.7982,10.423,-4.1602,-4.9728,no
3.8969,7.4163,-1.8245,0.14007,no
2.994,7.2011,-1.2153,0.3211,no
0.20977,-0.46146,7.7267,0.90946,no
5.1321,-0.031048,0.32616,1.1151,no
0.32444,10.067,-1.1982,-4.1284,no
1.742,-4.809,8.2142,-2.0659,no
3.9663,10.1684,-4.1131,-4.6056,no
2.3969,0.23589,4.8477,1.437,no
2.5817,9.7546,-3.1749,-2.9957,no
1.3234,3.2964,0.2362,-0.11984,no
0.27451,9.2186,-3.2863,-4.8448,no
0.51947,-3.2633,3.0895,-0.98492,no
2.4008,9.3593,-3.3565,-3.3526,no
3.9382,0.9291,0.78543,0.6767,no
3.8027,0.81529,2.1041,1.0245,no
5.681,7.795,-2.6848,-0.92544,no
2.4235,9.5332,-3.0789,-2.7746,no
1.8993,7.6625,0.15394,-3.1108,no
2.2596,-0.033118,4.7355,-0.2776,no
4.2027,0.22761,0.96108,0.97282,no
0.87603,6.8141,0.84198,-0.17156,no
-0.2062,9.2207,-3.7044,-6.8103,no
3.7798,-3.3109,2.6491,0.066365,no
-0.16108,-6.4624,8.3573,-1.5216,no
1.8384,6.063,0.54723,0.51248,no
2.9163,10.8306,-3.3437,-4.122,no
4.0329,0.23175,0.89082,1.1823,no
0.38478,6.5989,-0.3336,-0.56466,no
4.4549,2.4976,1.0313,0.96894,no
3.3583,10.3567,-3.7301,-3.6991,no
3.5189,6.332,-1.7791,-0.020273,no
3.7758,7.1783,-1.5195,0.40128,no
-1.4217,11.6542,-0.057699,-7.1025,no
1.7317,-0.34765,4.1905,-0.99138,no
5.504,10.3671,-4.413,-4.0211,no
2.6606,3.1681,1.9619,0.18662,no
0.49665,5.527,1.7785,-0.47156,no
1.6988,2.9094,2.9044,0.11033,no
1.5902,2.2948,3.2403,0.18404,no
-2.3983,12.606,2.9464,-5.7888,no
0.88992,2.2638,-3.1046,-0.11855,yes
2.4226,-4.5752,5.947,0.21507,no
1.0652,8.3682,-1.4004,-1.6509,no
3.5251,0.7201,1.6928,0.64438,no
0.007125,8.3661,0.50781,-3.8155,no
1.9265,7.7557,-0.16823,-3.0771,no
-2.6864,-0.097265,0.61663,0.061192,yes
1.602,6.1251,0.52924,0.47886,no
0.004054,0.62905,-0.64121,0.75817,yes
3.2718,1.7837,2.1161,0.61334,no
-1.6952,1.0657,8.8294,0.94955,no
-0.21661,8.0329,1.8848,-3.8853,no
3.9364,10.5885,-3.725,-4.3133,no
4.8906,-3.3584,3.4202,1.0905,no
-4.577,3.4515,0.66719,-0.94742,yes
4.1349,6.1189,-2.4294,-0.19613,no
2.2517,-5.1422,4.2916,-1.2487,no
1.4276,8.3847,-2.0995,-1.9677,no
4.6014,5.6264,-2.1235,0.19309,no
5.4021,3.1039,-1.1536,1.5651,no
1.1432,-3.7413,5.5777,-0.63578,no
3.6941,-3.9482,4.2625,1.1577,no
2.6881,6.0195,-0.46641,-0.69268,no
1.0135,8.4551,-1.672,-2.0815,no
2.8237,2.8597,0.19678,0.57196,no
4.5679,3.1929,-2.1055,0.29653,no
0.86202,2.6963,4.2908,0.54739,no
0.44125,2.9487,4.3225,0.7155,no
3.534,9.3614,-3.6316,-1.2461,no
-2.0891,-0.48422,1.704,1.7435,yes
-0.8172,3.3812,-3.6684,-3.456,yes
1.8967,-2.5163,2.8093,-0.79742,no
3.6922,-3.9585,4.3439,1.3517,no
5.1213,8.5565,-3.3917,-1.5474,no
-2.4115,-9.1359,9.3444,-0.65259,yes
2.8523,9.0096,-3.761,-3.3371,no
0.1848,6.5079,2.0133,-0.87242,no
1.6032,-4.7863,8.5193,-2.1203,no
2.0139,6.1416,0.37929,0.56938,no
2.5331,2.9135,-0.822,-0.12243,no
4.4295,-2.3507,1.7048,0.90946,no
2.2634,-4.4862,3.6558,-0.61251,no
3.6181,-3.7454,2.8273,-0.71208,no
1.3754,8.8793,-1.9136,-0.53751,no
3.1219,-3.137,1.9259,-0.37458,no
2.0911,0.94358,4.5512,1.234,no
3.7731,7.2073,-1.6814,-0.94742,no
-1.0941,2.3072,-2.5237,-1.4453,yes
1.0552,1.1857,-2.6411,0.11033,yes
3.9121,2.9735,0.92852,0.60558,no
-0.023579,7.1742,0.78457,-0.75734,no
3.7522,-3.6978,3.9943,1.3051,no
4.2458,1.1981,0.66633,0.94696,no
3.4805,9.7008,-3.7541,-3.4379,no
5.8782,5.9409,-2.8544,-0.60863,no
4.7072,8.2957,-2.5605,-1.4905,no
0.52855,0.96427,4.0243,-1.0483,no
3.8962,-4.7904,3.3954,-0.53751,no
3.9772,0.33521,2.2566,2.1625,no
1.518,5.6946,0.094818,-0.026738,no
3.6077,6.8576,-1.1622,0.28231,no
-1.2528,10.2036,2.1787,-5.6038,no
3.3756,-4.0951,4.367,1.0698,no
-1.3,10.2678,-2.953,-5.8638,no
1.2262,0.89599,5.7568,-0.11596,no
-0.048008,-0.56078,7.7215,0.453,no
1.0987,0.6394,5.989,-0.58277,no
-3.8858,-12.8461,12.7957,-3.1353,yes
3.1887,-3.4143,2.7742,-0.2026,no
3.6894,9.887,-4.0788,-4.3664,no
3.3004,7.0811,-1.3258,0.22283,no
3.5288,0.71596,1.9507,1.9375,no
4.0632,3.584,0.72545,0.39481,no
4.5707,7.2094,-3.2794,-1.4944,no
0.3798,0.7098,0.7572,-0.4444,no
0.89566,7.7763,-2.7473,-1.9353,no
2.0153,1.8479,3.1375,0.42843,no
5.032,8.2026,-2.6256,-1.0341,no
4.7965,6.9859,-1.9967,-0.35001,no
4.0127,10.1477,-3.9366,-4.0728,no
4.364,-3.1039,2.3757,0.78532,no
3.7935,7.9853,-2.5477,-1.872,no
3.9294,1.4112,1.8076,0.89782,no
3.6216,8.6661,-2.8073,-0.44699,no
1.4507,8.7903,-2.2324,-0.65259,no
2.5989,3.5178,0.7623,0.81119,no
5.1731,3.9606,-1.983,0.40774,no
2.7213,7.05,-0.58808,0.41809,no
3.4769,-0.15314,2.53,2.4495,no
-1.1193,10.7271,2.0938,-5.6504,no
2.3729,10.4726,-3.0087,-3.2013,no
-2.6479,10.1374,-1.331,-5.4707,no
-2.6479,10.1374,-1.331,-5.4707,no
3.9292,-2.9156,2.2129,0.30817,no
3.4626,-4.449,3.5427,0.15429,no
1.6349,3.286,2.8753,0.087054,no
1.7452,4.8028,2.0878,0.62627,no
3.9414,-3.2902,3.1674,1.0866,no
-3.6053,-5.974,10.0916,-0.82846,yes
0.74307,11.17,-1.3824,-4.0728,no
5.262,3.9834,-1.5572,1.0103,no
3.1377,-4.1096,4.5701,0.98963,no
-1.1391,1.8127,6.9144,0.70127,no
-0.12196,8.8068,0.94566,-4.2267,no
0.75736,3.0294,2.9164,-0.068117,no
0.5706,-0.0248,1.2421,-0.5621,no
3.0632,-3.3315,5.1305,0.8267,no
3.5912,3.0129,0.72888,0.56421,no
-2.341,12.3784,0.70403,-7.5836,no
-1.3885,12.5026,0.69118,-7.5487,no
4.1454,7.257,-1.9153,-0.86078,no
0.2346,-4.5152,2.1195,1.4448,yes
2.6718,5.6574,0.72974,-1.4892,no
-1.7713,-10.7665,10.2184,-1.0043,yes
4.2756,-2.6528,2.1375,0.94437,no
-0.11783,-1.5789,8.03,-0.028031,no
-0.69572,8.6165,1.8419,-4.3289,no
1.0117,0.9022,-2.3506,0.42714,yes
3.6244,1.4609,1.3501,1.9284,no
4.1654,-3.4495,3.643,1.0879,no
5.6272,10.0857,-4.2931,-3.8142,no
6.8248,5.2187,-2.5425,0.5461,no
-0.64472,-4.6062,8.347,-2.7099,no
2.5698,-4.4076,5.9856,0.078002,no
2.8033,9.0862,-3.3668,-1.0224,no
3.8832,6.4023,-2.432,-0.98363,no
5.8519,5.3905,-2.4037,-0.061652,no
1.1166,8.6496,-0.96252,-1.8112,no
3.2403,-3.7082,5.2804,0.41291,no
1.8114,7.6067,-0.9788,-2.4668,no
4.0215,-2.1914,2.4648,1.1409,no
2.6213,5.7919,0.065686,-1.5759,no
3.9994,0.90427,1.1693,1.6892,no
0.64215,3.1287,4.2933,0.64696,no
4.8278,7.7598,-2.4491,-1.2216,no
-1.5055,0.070346,6.8681,-0.50648,no
1.04,-6.9321,8.2888,-1.2991,no
-0.59587,2.4811,-2.8673,-0.89828,yes
4.7432,2.1086,0.1368,1.6543,no
3.884,10.0277,-3.9298,-4.0819,no
3.4465,2.9508,1.0271,0.5461,no
1.7819,6.9176,-1.2744,-1.5759,no
3.757,-5.4236,3.8255,-1.2526,no
4.616,10.1788,-4.2185,-4.4245,no
2.1265,6.8783,0.44784,-2.2224,no
0.7057,-5.4981,8.3368,-2.8715,no
1.1317,3.9647,3.3979,0.84351,no
3.9719,1.0367,0.75973,1.0013,no
4.1529,-3.9358,2.8633,-0.017686,no
2.3925,9.798,-3.0361,-2.8224,no
-1.3612,10.694,1.7022,-2.9026,no
3.8481,10.1539,-3.8561,-4.2228,no
4.6765,-3.3895,3.4896,1.4771,no
5.086,3.2798,-1.2701,1.1189,no
4.3435,3.3295,0.83598,0.64955,no
2.7961,2.121,1.8385,0.38317,no
-2.6479,10.1374,-1.331,-5.4707,no
2.9856,7.2673,-0.409,-2.2431,no
1.8373,6.1292,0.84027,0.55257,no
4.1038,-4.8069,3.3491,-0.49225,no
-0.61442,-0.091058,-0.31818,0.50214,yes
3.5458,9.3718,-4.0351,-3.9564,no
1.8533,6.1458,1.0176,-2.0401,no
0.94732,-0.57113,7.1903,-0.67587,no
-0.38388,-1.0471,8.0514,0.49567,no
2.486,-0.99533,5.3404,-0.15475,no
4.4069,10.9072,-4.5775,-4.4271,no
3.0329,2.2948,2.1135,0.35084,no
0.040498,8.5234,1.4461,-3.9306,no
4.1757,10.2615,-3.8552,-4.3056,no
4.0948,-2.9674,2.3689,0.75429,no
1.3566,4.2358,2.1341,0.3211,no
3.9232,-3.2467,3.4579,0.83705,no
2.2034,5.9947,0.53009,0.84998,no
4.0047,0.45937,1.3621,1.6181,no
-0.91718,9.9884,1.1804,-5.2263,no
3.8905,-2.1521,2.6302,1.1047,no
-1.8348,11.0334,3.1863,-4.8888,no
1.1588,8.9331,-2.0807,-1.1272,no
0.49571,10.2243,-1.097,-4.0159,no
3.0672,-4.4117,3.8238,-0.81682,no
1.5268,-5.5871,8.6564,-1.722,no
0.77124,9.0862,-1.2281,-1.4996,no
3.2704,6.9321,-1.0456,0.23447,no
2.1319,-2.0403,2.5574,-0.061652,no
2.1526,-6.1665,8.0831,-0.34355,no
3.3577,-4.3062,6.0241,0.18274,no
4.6689,1.3098,0.055404,1.909,no
2.6946,6.7976,-0.40301,0.44912,no
2.2928,9.0386,-3.2417,-1.2991,no
0.64295,7.1018,0.3493,-0.41337,no
4.6361,-2.6611,2.8358,1.1991,no
5.7403,-0.44284,0.38015,1.3763,no
2.2526,9.9636,-3.1749,-2.9944,no
-1.7559,11.9459,3.0946,-4.8978,no
-0.048008,-1.6037,8.4756,0.75558,no
-0.27802,8.1881,-3.1338,-2.5276,no
3.6277,0.9829,0.68861,0.63403,no
2.5503,-4.9518,6.3729,-0.41596,no
3.2697,-4.3414,3.6884,-0.29829,no
0.3292,-4.4552,4.5718,-0.9888,no
4.0215,-2.7004,2.4957,0.36636,no
3.577,2.4004,1.8908,0.73231,no
2.1059,7.6046,-0.47755,-1.8461,no
-0.16682,5.8974,0.49839,-0.70044,no
4.6499,7.6336,-1.9427,-0.37458,no
0.5706,-0.0248,1.2421,-0.5621,no
-2.2261,12.5398,2.9438,-3.5258,no
-0.45062,-1.3678,7.0858,-0.40303,no
5.7227,5.8312,-2.4097,-0.24527,no
-0.016103,9.7484,0.15394,-1.6134,no
3.583,-3.7971,3.4391,-0.12501,no
0.5195,-3.2633,3.0895,-0.9849,no
1.1518,1.3864,5.2727,-0.43536,no
-2.0897,10.8265,2.3603,-3.4198,no
0.66018,10.3878,-1.4029,-3.9151,no
1.9476,-4.7738,8.527,-1.8668,no
0.85574,0.008268,6.6042,-0.53104,no
-1.5222,10.8409,2.7827,-4.0974,no
3.4667,-4.0724,4.2882,1.5418,no
1.645,7.8612,-0.87598,-3.5569,no
3.9166,10.2491,-4.0926,-4.4659,no
3.7352,9.5911,-3.9032,-3.3487,no
0.045304,6.7334,1.0708,-0.9332,no
-2.2623,12.1177,0.28846,-7.7581,no
4.1425,-3.6792,3.8281,1.6297,no
0.049175,6.1437,1.7828,-0.72113,no
3.0009,5.8126,-2.2306,-0.66553,no
-0.96511,9.4111,1.7305,-4.8629,no
4.9264,5.496,-2.4774,-0.50648,no
0.3223,-0.89808,8.0883,0.69222,no
1.6426,3.0149,0.22849,-0.147,no
3.1541,-5.1711,6.5991,0.57455,no
-0.64326,2.4748,-2.9452,-1.0276,yes
0.57461,10.1105,-1.6917,-4.3922,no
3.1452,5.825,-0.51439,-1.4944,no
5.1776,8.2316,-3.2511,-1.5694,no
-0.13144,-1.7775,8.3316,0.35214,no
3.7635,2.7811,0.66119,0.34179,no
1.4806,7.6377,-2.7876,-1.0341,no
1.143,0.83391,5.4552,-0.56984,no
5.0297,-4.9704,3.5025,-0.23751,no
-2.0759,10.8223,2.6439,-4.837,no
2.7365,-5.0325,6.6608,-0.57889,no
2.6799,3.1349,0.34073,0.58489,no
1.3419,-4.4221,8.09,-1.7349,no
4.0296,2.6756,0.80685,0.71679,no
2.1274,5.1939,-1.7971,-1.1763,no
3.2351,9.647,-3.2074,-2.5948,no
1.2616,4.4303,-1.3335,-1.7517,no
0.72252,-0.053811,5.6703,-1.3509,no
1.934,-9e-06,4.816,-0.33967,no
2.7831,10.9796,-3.557,-4.4039,no
2.0466,2.03,2.1761,-0.083634,no
0.5706,-0.0248,1.2421,-0.5621,no
2.4673,1.3926,1.7125,0.41421,no
3.5829,1.4423,1.0219,1.4008,no
4.3365,-3.584,3.6884,0.74912,no
1.2999,2.5762,2.0107,-0.18967,no
-2.343,12.9516,3.3285,-5.9426,no
2.7161,-4.2006,4.1914,0.16981,no
1.594,4.7055,1.3758,0.081882,no
5.9374,6.1664,-2.5905,-0.36553,no
1.7747,-6.4334,8.15,-0.89828,no
1.8216,-6.4748,8.0514,-0.41855,no
3.9362,10.1622,-3.8235,-4.0172,no
-1.2576,1.5892,7.0078,0.42455,no
0.33565,6.8369,0.69718,-0.55691,no
1.6472,0.48213,4.7449,1.225,no
0.5195,-3.2633,3.0895,-0.9849,no
3.2692,3.4184,0.20706,-0.066824,no
4.1736,3.3336,-1.4244,0.60429,no
1.762,4.3682,2.1384,0.75429,no
3.5438,1.2395,1.997,2.1547,no
0.92703,9.4318,-0.66263,-1.6728,no
4.4072,-0.070365,2.0416,1.1319,no
3.4669,6.87,-1.0568,-0.73147,no
-1.2537,10.8803,1.931,-4.3237,no
1.1558,6.4003,1.5506,0.6961,no
4.6352,-3.0087,2.6773,1.212,no
5.2418,10.5388,-4.1174,-4.2797,no
1.9157,6.0816,0.23705,-2.0116,no
0.96788,7.1907,1.2798,-2.4565,no
4.1927,-3.2674,2.5839,0.21766,no
0.29961,7.1328,-0.31475,-1.1828,no
4.0552,0.40143,1.4563,0.65343,no
4.8851,1.5995,-0.000291,1.6401,no
-0.278,8.1881,-3.1338,-2.5276,no
2.1721,-0.73874,5.4672,-0.72371,no
0.21084,9.4359,-0.094543,-1.859,no
1.2706,8.035,-0.19651,-2.1888,no
-0.39816,5.9781,1.3912,-1.1621,no
2.5635,6.7769,-0.61979,0.38576,no
0.3292,-4.4552,4.5718,-0.9888,no
1.4479,-4.8794,8.3428,-2.1086,no
1.5478,9.1814,-1.6326,-1.7375,no
4.223,1.1319,0.72202,0.96118,no
0.12326,8.9848,-0.9351,-2.4332,no
3.966,3.9213,0.70574,0.33662,no
6.5633,9.8187,-4.4113,-3.2258,no
0.93611,8.6413,-1.6351,-1.3043,no
-2.5373,-6.959,8.8054,1.5289,yes
2.2546,8.0992,-0.24877,-3.2698,no
0.74054,0.36625,2.1992,0.48403,no
3.8644,3.7061,0.70403,0.35214,no
2.1881,2.7356,1.3278,-0.1832,no
3.3299,0.91254,1.5806,0.39352,no
2.0051,-6.8638,8.132,-0.2401,no
2.6917,10.8161,-3.3,-4.2888,no
4.1542,7.2756,-2.4766,-1.2099,no
1.9358,8.1654,-0.023425,-2.2586,no
-1.1497,1.2954,7.701,0.62627,no
2.9719,6.8369,-0.2702,0.71291,no
0.14783,7.946,1.0742,-3.3409,no
3.5156,10.1891,-4.2759,-4.978,no
4.988,7.2052,-3.2846,-1.1608,no
4.052,-0.16555,0.45383,0.51248,no
2.7391,7.4018,0.071684,-2.5302,no
1.7496,-0.1759,5.1827,1.2922,no
1.0182,9.109,-0.62064,-1.7129,no
-2.41,3.7433,-0.40215,-1.2953,yes
3.4591,11.112,-4.2039,-5.0931,no
2.9571,-4.5938,5.9068,0.57196,no
0.96441,5.8395,2.3235,0.066365,no
2.5328,7.528,-0.41929,-2.6478,no
3.744,0.79459,0.95851,1.0077,no
3.946,6.8514,-1.5443,-0.5582,no
2.805,0.57732,1.3424,1.2133,no
3.0934,-2.9177,2.2232,0.22283,no
1.8592,3.2074,-0.15966,-0.26208,no
5.2032,3.5116,-1.2538,1.0129,no
0.38251,6.8121,1.8128,-0.61251,no
4.3398,-5.3036,3.8803,-0.70432,no
1.8994,0.97462,4.2265,0.81377,no
4.1665,-0.4449,0.23448,0.27843,no
2.4196,6.4665,-0.75688,0.228,no
3.4566,9.5228,-4.0112,-3.5944,no
4.7285,2.1065,-0.28305,1.5625,no
0.5195,-3.2633,3.0895,-0.9849,no
5.1129,-0.49871,0.62863,1.1189,no
5.4188,10.1457,-4.084,-3.6991,no
0.93584,8.8855,-1.6831,-1.6599,no
-0.65767,-2.8018,3.7115,0.99739,yes
0.37984,0.70975,0.75716,-0.44441,no
-1.7344,2.0175,7.7618,0.93532,no
-2.4473,12.6247,0.73573,-7.6612,no
1.8664,7.7763,-0.23849,-2.9634,no
-2.484,12.1611,2.8204,-3.7418,no
-1.3274,9.498,2.4408,-5.2689,no
3.5761,9.7753,-3.9795,-3.4638,no
-0.24811,-0.17797,4.9068,0.15429,no
2.0177,1.7982,-2.9581,0.2099,yes
0.94225,5.8561,1.8762,-0.32544,no
3.245,6.63,-0.63435,0.86937,no
4.65,-4.8297,3.4553,-0.25174,no
4.1962,0.74493,0.83256,0.753,no
-1.9922,11.6542,2.6542,-5.2107,no
4.0524,5.6802,-1.9693,0.026279,no
2.9695,5.6222,0.27561,-1.1556,no
2.8261,9.4007,-3.3034,-1.0509,no
2.8297,6.3485,-0.73546,-0.58665,no
2.4527,2.9653,0.20021,-0.056479,no
4.2475,1.4816,-0.48355,0.95343,no
2.0843,6.6258,0.48382,-2.2134,no
3.82,10.9279,-4.0112,-5.0284,no
2.877,-4.0599,3.6259,-0.32544,no
0.83292,7.5404,0.65005,-0.92544,no
1.3562,3.2136,4.3465,0.78662,no
3.4776,8.811,-3.1886,-0.92285,no
-1.4275,11.8797,0.41613,-6.9978,no
2.5089,6.841,-0.029423,0.44912,no
